key,name,region,sector,tracks,domain,careers_url,ats,token,source_index,notes
adobe-inc,Adobe Inc.,US,technology,"saas,creative,ai,enterprise",adobe.com,https://www.adobe.com/careers.html,,,sp500,"Creative Cloud, Document Cloud, Experience Cloud; growing AI (Firefly) team."
palantir-technologies,Palantir Technologies,US,technology,"ai,data,defense,enterprise",palantir.com,https://www.palantir.com/careers/,,,sp500,Data analytics and AI platform for government and enterprise.
snowflake-inc,Snowflake Inc.,US,technology,"cloud,data,saas",snowflake.com,https://careers.snowflake.com,,,cloud100,Cloud data warehouse leader; strong hiring in engineering and sales.
shopify-inc,Shopify Inc.,US,technology,"ecommerce,saas,fintech",shopify.com,https://www.shopify.com/careers,,,sp500,"Leading e-commerce platform; US-listed, significant US hiring."
servicenow-inc,"ServiceNow, Inc.",US,technology,"saas,enterprise,ai,itsm",servicenow.com,https://careers.servicenow.com,,,sp500,Enterprise workflow automation; strong engineering and PM roles.
workday-inc,"Workday, Inc.",US,technology,"saas,hr,finance,enterprise",workday.com,https://www.workday.com/en-us/company/careers/overview.html,,,sp500,Cloud HR and finance software; large US employer.
cloudflare-inc,"Cloudflare, Inc.",US,technology,"networking,security,cloud",cloudflare.com,https://www.cloudflare.com/careers/,,,cloud100,Global network security and CDN; growing developer platform.
datadog-inc,"Datadog, Inc.",US,technology,"devops,monitoring,cloud,saas",datadoghq.com,https://www.datadoghq.com/careers/,,,cloud100,Observability and security platform; fast-growing public company.
hashicorp,HashiCorp,US,technology,"devops,cloud,infrastructure",hashicorp.com,https://www.hashicorp.com/careers,,,cloud100,"Infrastructure automation (Terraform, Vault); acquired by IBM in 2024."
mongodb-inc,"MongoDB, Inc.",US,technology,"database,cloud,developer-tools",mongodb.com,https://www.mongodb.com/careers,,,russell1000,Leading document database and Atlas cloud platform.
twilio-inc,Twilio Inc.,US,technology,"communications,api,saas",twilio.com,https://www.twilio.com/en-us/company/jobs,,,russell1000,"Cloud communications platform (SMS, voice, email APIs)."
okta-inc,"Okta, Inc.",US,technology,"security,identity,saas",okta.com,https://www.okta.com/company/careers/,,,russell1000,Identity and access management leader; Auth0 parent.
zendesk,Zendesk,US,technology,"saas,crm,customer-support",zendesk.com,https://jobs.zendesk.com,,,russell1000,Customer service software; went private in 2022; significant US workforce.
hubspot-inc,"HubSpot, Inc.",US,technology,"saas,marketing,crm",hubspot.com,https://www.hubspot.com/careers,,,russell1000,Inbound marketing and CRM platform for SMBs.
anduril-industries,Anduril Industries,US,technology,"defense,ai,hardware",anduril.com,https://www.anduril.com/careers/,,,startup,Defense tech unicorn; autonomous systems and AI for national security.
rippling,Rippling,US,technology,"hr,fintech,saas",rippling.com,https://www.rippling.com/careers,,,startup,Workforce management platform; valued $13B+.
plaid-inc,Plaid Inc.,US,technology,"fintech,api,developer-tools",plaid.com,https://plaid.com/careers/,,,cloud100,Financial data infrastructure connecting apps to bank accounts.
github-inc,"GitHub, Inc.",US,technology,"developer-tools,ai,saas",github.com,https://github.com/about/careers,,,russell1000,Microsoft-owned; world's largest code hosting platform and Copilot AI.
walmart,Walmart,US,retail-consumer,"retail,ecommerce,grocery",walmart.com,https://careers.walmart.com,,,fortune500,Largest US retailer by revenue; brick-and-mortar + growing ecommerce
target-corporation,Target Corporation,US,retail-consumer,"retail,ecommerce",target.com,https://corporate.target.com/careers,,,fortune500,Major discount retailer; strong omnichannel and private-label brand presence
the-home-depot,The Home Depot,US,retail-consumer,"retail,home-improvement",homedepot.com,https://careers.homedepot.com,,,fortune500,Largest home improvement retailer in the US
costco-wholesale,Costco Wholesale,US,retail-consumer,"retail,wholesale,grocery",costco.com,https://www.costco.com/jobs.html,,,fortune500,Membership warehouse club; known for employee-friendly pay
kroger,Kroger,US,retail-consumer,"grocery,retail",kroger.com,https://jobs.kroger.com,,,fortune500,Largest supermarket chain in the US by revenue
lowe-s-companies,Lowe's Companies,US,retail-consumer,"retail,home-improvement",lowes.com,https://jobs.lowes.com,,,fortune500,Second-largest home improvement retailer after Home Depot
cvs-health,CVS Health,US,retail-consumer,"retail,pharmacy,health",cvshealth.com,https://jobs.cvshealth.com,,,fortune500,Pharmacy retail chain + health services; also owns Aetna
walgreens-boots-alliance,Walgreens Boots Alliance,US,retail-consumer,"retail,pharmacy",walgreens.com,https://jobs.walgreens.com,,,fortune500,Major US pharmacy retail chain
best-buy,Best Buy,US,retail-consumer,"retail,consumer-electronics",bestbuy.com,https://jobs.bestbuy.com,,,fortune500,Largest US consumer electronics retailer
tjx-companies,TJX Companies,US,retail-consumer,"retail,off-price",tjx.com,https://www.tjx.com/careers,,,fortune500,"Parent of TJ Maxx, Marshalls, HomeGoods; off-price retail"
dollar-general,Dollar General,US,retail-consumer,"retail,discount",dollargeneral.com,https://careers.dollargeneral.com,,,fortune500,Largest US dollar store chain by store count
dollar-tree,Dollar Tree,US,retail-consumer,"retail,discount",dollartree.com,https://careers.dollartree.com,,,fortune500,Operates Dollar Tree and Family Dollar chains
albertsons-companies,Albertsons Companies,US,retail-consumer,"grocery,retail",albertsonscompanies.com,https://www.albertsonscompanies.com/careers,,,fortune500,"Second-largest US supermarket chain; Safeway, Vons, Jewel-Osco under same umbrella"
gap-inc,Gap Inc.,US,retail-consumer,"retail,apparel,fashion",gapinc.com,https://www.gapinc.com/en-us/articles/2017/02/careers,,,sp500,"Parent of Gap, Old Navy, Banana Republic, Athleta"
ross-stores,Ross Stores,US,retail-consumer,"retail,off-price,apparel",rossstores.com,https://jobs.rossstores.com,,,sp500,Off-price apparel and home fashion retailer
nordstrom,Nordstrom,US,retail-consumer,"retail,luxury,fashion",nordstrom.com,https://careers.nordstrom.com,,,sp500,Upscale department store chain; Nordstrom Rack off-price segment
macy-s,Macy's,US,retail-consumer,"retail,department-store,fashion",macys.com,https://jobs.macys.com,,,sp500,Major US department store chain; also operates Bloomingdale's
kohl-s-corporation,Kohl's Corporation,US,retail-consumer,"retail,department-store,apparel",kohls.com,https://corporate.kohls.com/careers,,,sp500,Mid-tier department store chain with strong digital presence
bath-and-body-works,Bath & Body Works,US,retail-consumer,"retail,beauty,personal-care",bathandbodyworks.com,https://careers.bathandbodyworks.com,,,sp500,"Specialty retailer for personal care, fragrance, and home scent"
autozone,AutoZone,US,retail-consumer,"retail,auto-parts",autozone.com,https://www.autozone.com/careers,,,sp500,Largest US auto parts retailer
o-reilly-automotive,O'Reilly Automotive,US,retail-consumer,"retail,auto-parts",oreillyauto.com,https://www.oreillyauto.com/careers,,,sp500,Major auto parts and accessories retailer
williams-sonoma,Williams-Sonoma,US,retail-consumer,"retail,home-furnishings,ecommerce",williams-sonoma.com,https://careers.williams-sonoma.com,,,sp500,"Parent of Pottery Barn, West Elm, Williams Sonoma; strong ecommerce mix"
tractor-supply-company,Tractor Supply Company,US,retail-consumer,"retail,farm-supply",tractorsupply.com,https://www.tractorsupply.com/tsc/cms/careers,,,sp500,Largest US rural lifestyle retailer
five-below,Five Below,US,retail-consumer,"retail,discount,teen",fivebelow.com,https://www.fivebelow.com/pages/careers,,,russell1000,Specialty value retailer targeting teens and tweens
burlington-stores,Burlington Stores,US,retail-consumer,"retail,off-price,apparel",burlington.com,https://careers.burlington.com,,,russell1000,Off-price apparel and home product retailer
dick-s-sporting-goods,Dick's Sporting Goods,US,retail-consumer,"retail,sporting-goods",dickssportinggoods.com,https://www.dickssportinggoods.com/s/careers,,,russell1000,Largest US full-line sporting goods retailer
chewy,Chewy,US,retail-consumer,"ecommerce,pet,retail",chewy.com,https://careers.chewy.com,,,russell1000,Online-first pet food and supplies retailer; autoship subscription model
wayfair,Wayfair,US,retail-consumer,"ecommerce,home-furnishings,retail",wayfair.com,https://www.aboutwayfair.com/careers,,,russell1000,Large online home goods retailer; asset-light marketplace model
etsy,Etsy,US,retail-consumer,"ecommerce,marketplace,retail",etsy.com,https://careers.etsy.com,,,russell1000,Online marketplace for handmade and vintage goods
ebay,eBay,US,retail-consumer,"ecommerce,marketplace,retail",ebay.com,https://careers.ebayinc.com,,,sp500,Global online marketplace; strong in recommerce/resale
instacart-maplebear,Instacart (Maplebear),US,retail-consumer,"ecommerce,grocery,delivery,retail-tech",instacart.com,https://instacart.careers,,,startup,On-demand grocery delivery and pickup platform
doordash,DoorDash,US,retail-consumer,"delivery,retail,ecommerce",doordash.com,https://careers.doordash.com,,,startup,Largest US food and convenience delivery platform; expanding to retail
faire,Faire,US,retail-consumer,"ecommerce,wholesale,retail-tech",faire.com,https://www.faire.com/careers,,,startup,B2B wholesale marketplace connecting independent retailers and brands
samsara,Samsara,US,retail-consumer,"retail-tech,iot,fleet",samsara.com,https://www.samsara.com/careers,,,cloud100,Connected operations platform used heavily by retail/logistics fleets
glossier,Glossier,US,retail-consumer,"retail,beauty,dtc",glossier.com,https://www.glossier.com/pages/careers,,,startup,DTC beauty brand with community-led growth model; physical retail expanding
allbirds,Allbirds,US,retail-consumer,"retail,dtc,footwear,sustainability",allbirds.com,https://www.allbirds.com/pages/careers,,,startup,Sustainable DTC footwear brand; publicly listed on Nasdaq
warby-parker,Warby Parker,US,retail-consumer,"retail,dtc,eyewear,omnichannel",warbyparker.com,https://www.warbyparker.com/careers,,,startup,DTC eyewear brand with growing physical store footprint; publicly listed
carvana,Carvana,US,retail-consumer,"ecommerce,auto,retail",carvana.com,https://www.carvana.com/careers,,,russell1000,Online used-car retailer; fully digital buying and delivery experience
stockx,StockX,US,retail-consumer,"ecommerce,resale,sneakers,marketplace",stockx.com,https://stockx.com/about/careers,,,startup,"Live marketplace for sneakers, streetwear, and collectibles; unicorn"
the-realreal,The RealReal,US,retail-consumer,"ecommerce,resale,luxury,retail",therealreal.com,https://www.therealreal.com/careers,,,startup,Authenticated luxury resale marketplace; publicly listed
nextera-energy,NextEra Energy,US,energy-utilities,"energy,renewables,engineering,operations",nexteraenergy.com,https://www.nexteraenergy.com/careers.html,,,fortune500,"Largest US electric utility by market cap; world's largest wind/solar operator. HQ Juno Beach, FL."
duke-energy,Duke Energy,US,energy-utilities,"energy,utilities,engineering,operations",duke-energy.com,https://www.duke-energy.com/home/company/careers,,,fortune500,"Major electric/gas utility serving Southeast and Midwest US. HQ Charlotte, NC."
southern-company,Southern Company,US,energy-utilities,"energy,utilities,engineering,operations",southerncompany.com,https://www.southerncompany.com/careers/home.html,,,fortune500,"Major electric/gas utility serving the Southeast US. HQ Atlanta, GA."
dominion-energy,Dominion Energy,US,energy-utilities,"energy,utilities,engineering,operations",dominionenergy.com,https://careers.dominionenergy.com,,,fortune500,"Large electric/gas utility, major offshore wind developer. HQ Richmond, VA."
exelon,Exelon,US,energy-utilities,"energy,utilities,engineering,nuclear",exeloncorp.com,https://www.exeloncorp.com/careers,,,fortune500,"Largest US electric/gas utility holding company by customers. HQ Chicago, IL."
constellation-energy,Constellation Energy,US,energy-utilities,"energy,nuclear,clean-energy,engineering",constellationenergy.com,https://www.constellationenergy.com/careers.html,,,sp500,"Largest US nuclear power operator (spun off from Exelon 2022). HQ Baltimore, MD."
pg-and-e-corporation,PG&E Corporation,US,energy-utilities,"energy,utilities,engineering,operations",pgecorp.com,https://www.pge.com/en/about/careers.html,,,fortune500,"Major California electric/gas utility. HQ Oakland, CA."
sempra,Sempra,US,energy-utilities,"energy,utilities,lng,infrastructure",sempra.com,https://www.sempra.com/careers,,,fortune500,"Energy infrastructure company; operates SoCalGas, SDG&E, and LNG export terminals. HQ San Diego, CA."
american-electric-power,American Electric Power,US,energy-utilities,"energy,utilities,engineering,transmission",aep.com,https://www.aep.com/careers,,,fortune500,"One of the largest US electric utilities; major transmission owner. HQ Columbus, OH."
eversource-energy,Eversource Energy,US,energy-utilities,"energy,utilities,engineering,renewables",eversource.com,https://jobs.eversource.com,,,sp500,"Major New England electric/gas utility and offshore wind developer. HQ Hartford, CT."
xcel-energy,Xcel Energy,US,energy-utilities,"energy,utilities,wind,renewables",xcelenergy.com,https://www.xcelenergy.com/company/careers,,,sp500,"Utility serving upper Midwest and Southwest; large wind portfolio. HQ Minneapolis, MN."
entergy,Entergy,US,energy-utilities,"energy,utilities,nuclear,engineering",entergy.com,https://www.entergy.com/careers,,,fortune500,"Electric utility serving the Deep South; operates nuclear plants. HQ New Orleans, LA."
edison-international,Edison International,US,energy-utilities,"energy,utilities,engineering,ev-charging",edisonintl.com,https://www.edisonintl.com/careers/careers.html,,,sp500,"Parent of Southern California Edison; major California utility. HQ Rosemead, CA."
wec-energy-group,WEC Energy Group,US,energy-utilities,"energy,utilities,engineering,operations",wecenergygroup.com,https://www.wecenergygroup.com/careers/index.htm,,,sp500,"Midwest electric/gas utility holding company. HQ Milwaukee, WI."
consolidated-edison,Consolidated Edison,US,energy-utilities,"energy,utilities,engineering,operations",conedison.com,https://www.conedison.com/careers,,,sp500,"Electric, gas, and steam utility serving New York City. HQ New York, NY."
ameren,Ameren,US,energy-utilities,"energy,utilities,engineering,renewables",ameren.com,https://www.ameren.com/careers,,,sp500,"Electric/gas utility serving Missouri and Illinois. HQ St. Louis, MO."
cms-energy,CMS Energy,US,energy-utilities,"energy,utilities,engineering,operations",cmsenergy.com,https://www.cmsenergy.com/careers,,,sp500,"Parent of Consumers Energy; electric/gas utility in Michigan. HQ Jackson, MI."
ppl-corporation,PPL Corporation,US,energy-utilities,"energy,utilities,engineering,operations",pplweb.com,https://www.pplweb.com/careers,,,sp500,"Electric utility serving Kentucky and Pennsylvania. HQ Allentown, PA."
evergy,Evergy,US,energy-utilities,"energy,utilities,engineering,wind",evergy.com,https://www.evergy.com/careers,,,sp500,"Electric utility serving Kansas and Missouri. HQ Kansas City, MO."
pinnacle-west-capital,Pinnacle West Capital,US,energy-utilities,"energy,utilities,solar,engineering",pinnaclewest.com,https://www.pinnaclewest.com/careers,,,sp500,"Parent of Arizona Public Service; largest Arizona electric utility. HQ Phoenix, AZ."
nisource,NiSource,US,energy-utilities,"energy,utilities,gas,engineering",nisource.com,https://www.nisource.com/careers,,,sp500,"Natural gas distribution and electric utility across six states. HQ Merrillville, IN."
avangrid,Avangrid,US,energy-utilities,"energy,utilities,renewables,wind",avangrid.com,https://www.avangrid.com/careers,,,russell1000,"Subsidiary of Iberdrola; electric/gas utility and major renewables developer in US. HQ Orange, CT."
oge-energy,OGE Energy,US,energy-utilities,"energy,utilities,engineering,operations",oge.com,https://www.oge.com/wps/portal/oge/company/careers,,,russell1000,"Parent of Oklahoma Gas and Electric. HQ Oklahoma City, OK."
alliant-energy,Alliant Energy,US,energy-utilities,"energy,utilities,wind,solar",alliantenergy.com,https://www.alliantenergy.com/careers,,,sp500,"Electric/gas utility serving Iowa and Wisconsin; large wind portfolio. HQ Madison, WI."
pseg,PSEG,US,energy-utilities,"energy,utilities,nuclear,engineering",pseg.com,https://www.pseg.com/careers,,,sp500,"Electric/gas utility serving New Jersey; major nuclear operator. HQ Newark, NJ."
portland-general-electric,Portland General Electric,US,energy-utilities,"energy,utilities,renewables,engineering",portlandgeneral.com,https://www.portlandgeneral.com/about/careers,,,sp500,"Oregon-based electric utility with strong clean energy transition focus. HQ Portland, OR."
vistra,Vistra,US,energy-utilities,"energy,power-generation,nuclear,batteries",vistracorp.com,https://www.vistracorp.com/careers,,,sp500,"Largest competitive power generator in the US; nuclear + natural gas + batteries. HQ Irving, TX."
nrg-energy,NRG Energy,US,energy-utilities,"energy,retail-energy,power-generation,solar",nrg.com,https://www.nrg.com/careers.html,,,sp500,"Retail electricity provider and power generator; owns Reliant and Green Mountain Energy. HQ Houston, TX."
talen-energy,Talen Energy,US,energy-utilities,"energy,nuclear,power-generation",talenenergy.com,,,,russell1000,"Independent power producer with nuclear plants; data-center power deals. HQ The Woodlands, TX."
pattern-energy,Pattern Energy,US,energy-utilities,"energy,wind,solar,renewables",patternenergy.com,https://patternenergy.com/careers,,,startup,"Private renewables developer; one of the largest wind/solar developers in North America. HQ San Francisco, CA."
invenergy,Invenergy,US,energy-utilities,"energy,wind,solar,storage",invenergy.com,https://invenergy.com/careers,,,startup,"Largest private renewable energy company in North America; wind, solar, storage. HQ Chicago, IL."
aes-corporation,AES Corporation,US,energy-utilities,"energy,utilities,renewables,storage",aes.com,https://www.aes.com/careers,,,sp500,"Global power company with major US utility and renewable energy operations. HQ Arlington, VA."
ls-power,LS Power,US,energy-utilities,"energy,power-generation,transmission,storage",lspower.com,https://www.lspower.com/careers,,,startup,"Large private independent power producer; transmission and storage developer. HQ New York, NY."
fluence-energy,Fluence Energy,US,energy-utilities,"energy-storage,batteries,software,ai",fluenceenergy.com,https://fluenceenergy.com/careers,,,russell1000,"Energy storage technology and services company (JV origin: Siemens + AES). HQ Arlington, VA."
stem-inc,Stem Inc.,US,energy-utilities,"energy-storage,ai,software,cleantech",stem.com,https://www.stem.com/careers,,,russell1000,"AI-driven energy storage optimization platform; publicly listed. HQ San Francisco, CA."
sunnova-energy,Sunnova Energy,US,energy-utilities,"solar,distributed-energy,fintech,cleantech",sunnova.com,https://www.sunnova.com/careers,,,russell1000,"Residential solar and battery storage services company. HQ Houston, TX."
sunrun,Sunrun,US,energy-utilities,"solar,distributed-energy,storage,sales",sunrun.com,https://www.sunrun.com/careers,,,russell1000,"Largest US residential solar and battery company. HQ San Francisco, CA."
sunpower,SunPower,US,energy-utilities,"solar,residential,cleantech,sales",sunpower.com,https://www.sunpower.com/careers,,,russell1000,"Residential solar installation and financing. HQ San Jose, CA."
primoris-services,Primoris Services,US,energy-utilities,"energy,construction,engineering,renewables",prim.com,https://www.prim.com/careers,,,russell1000,"Engineering, procurement and construction for utilities and energy infrastructure. HQ Dallas, TX."
arcadia-power,Arcadia Power,US,energy-utilities,"cleantech,software,energy-data,fintech",arcadia.com,https://www.arcadia.com/careers,,,startup,"Clean energy platform connecting homes/businesses to renewable energy; raised $200M+. HQ Washington, DC."
leap-energy,Leap Energy,US,energy-utilities,"energy,demand-response,software,cleantech",leapwithus.com,,,,startup,"Virtual power plant / demand-response aggregation platform startup. HQ San Francisco, CA."
jpmorgan-chase-and-co,JPMorgan Chase & Co.,US,finance-banking,"fintech,banking,investment-banking,technology",jpmorganchase.com,https://careers.jpmorgan.com,,,fortune500|sp500|russell1000,"Largest US bank by assets; massive tech/engineering hiring including AI, data, and software engineering roles."
bank-of-america,Bank of America,US,finance-banking,"banking,fintech,investment-banking",bankofamerica.com,https://careers.bankofamerica.com,,,fortune500|sp500|russell1000,"Second-largest US bank; hires across technology, finance, operations, and quant roles."
wells-fargo,Wells Fargo,US,finance-banking,"banking,fintech,retail-banking",wellsfargo.com,https://www.wellsfargo.com/about/careers,,,fortune500|sp500|russell1000,Major retail and commercial bank; large technology and data science headcount.
citigroup,Citigroup,US,finance-banking,"banking,investment-banking,fintech",citigroup.com,https://jobs.citi.com,,,fortune500|sp500|russell1000,Global bank with large US operations; significant tech transformation underway.
goldman-sachs,Goldman Sachs,US,finance-banking,"investment-banking,fintech,trading,asset-management",goldmansachs.com,https://www.goldmansachs.com/careers,,,fortune500|sp500|russell1000,Top-tier investment bank; Marcus consumer banking arm; heavy engineering hiring.
morgan-stanley,Morgan Stanley,US,finance-banking,"investment-banking,wealth-management,fintech",morganstanley.com,https://www.morganstanley.com/people-opportunities,,,fortune500|sp500|russell1000,Leading investment bank and wealth management firm; technology division growing.
american-express,American Express,US,finance-banking,"fintech,payments,credit",americanexpress.com,https://www.americanexpress.com/en-us/careers,,,fortune500|sp500|russell1000,Major payments network and financial services; large data and product teams.
capital-one-financial,Capital One Financial,US,finance-banking,"fintech,banking,data,ai",capitalone.com,https://www.capitalone.com/careers,,,fortune500|sp500|russell1000,Tech-forward bank known for strong engineering culture; aggressive ML/AI hiring.
charles-schwab,Charles Schwab,US,finance-banking,"brokerage,wealth-management,fintech",schwab.com,https://www.schwab.com/about-schwab/careers,,,fortune500|sp500|russell1000,Leading retail brokerage; merged with TD Ameritrade; large tech and ops teams.
blackrock,BlackRock,US,finance-banking,"asset-management,fintech,data",blackrock.com,https://careers.blackrock.com,,,sp500|russell1000,World's largest asset manager; Aladdin platform drives significant tech hiring.
fidelity-investments,Fidelity Investments,US,finance-banking,"asset-management,brokerage,fintech",fidelity.com,https://jobs.fidelity.com,,,russell1000,Large private financial services firm; major tech investment; hires thousands in engineering and product.
visa,Visa,US,finance-banking,"payments,fintech,data",visa.com,https://www.visa.com/en_US/jobs,,,fortune500|sp500|russell1000,"Global payments network; strong engineering, data science, and product management hiring."
mastercard,Mastercard,US,finance-banking,"payments,fintech,data",mastercard.com,https://careers.mastercard.com,,,fortune500|sp500|russell1000,Global payments network; technology and cybersecurity are major hiring areas.
paypal,PayPal,US,finance-banking,"fintech,payments,ecommerce",paypal.com,https://careers.pypl.com,,,sp500|russell1000,Leading digital payments platform; Venmo parent; strong product and engineering teams.
robinhood,Robinhood,US,finance-banking,"fintech,brokerage,investing",robinhood.com,https://careers.robinhood.com,,,startup,Commission-free trading app; publicly traded; strong tech and product culture.
chime,Chime,US,finance-banking,"fintech,neobank,banking",chime.com,https://www.chime.com/careers,,,startup,Leading US neobank; large private company; strong product/engineering teams in SF.
affirm,Affirm,US,finance-banking,"fintech,lending,bnpl",affirm.com,https://www.affirm.com/careers,,,startup|russell1000,"Buy now, pay later leader; publicly traded; strong data and ML teams."
klarna,Klarna,US,finance-banking,"fintech,payments,bnpl",klarna.com,https://www.klarna.com/careers,,,startup,BNPL giant with significant US presence; actively hiring in US markets.
marqeta,Marqeta,US,finance-banking,"fintech,payments,card-issuing",marqeta.com,https://www.marqeta.com/company/careers,,,startup|russell1000,Modern card issuing platform; publicly traded; powers many fintech card products.
coinbase,Coinbase,US,finance-banking,"fintech,crypto,blockchain",coinbase.com,https://www.coinbase.com/careers,,,startup|russell1000,Largest US crypto exchange; publicly traded; significant engineering and compliance hiring.
square-block,Square (Block),US,finance-banking,"fintech,payments,crypto,banking",block.xyz,https://careers.block.xyz,,,sp500|russell1000,"Block Inc (formerly Square) — payments, Cash App, and bitcoin; strong engineering culture."
sofi-technologies,SoFi Technologies,US,finance-banking,"fintech,neobank,lending",sofi.com,https://www.sofi.com/careers,,,startup|russell1000,"Digital personal finance company (banking, loans, investing); publicly traded."
vanguard,Vanguard,US,finance-banking,"asset-management,fintech,investing",vanguard.com,https://www.vanguard.com/web/cf/en/careers,,,russell1000,Huge mutual fund and ETF provider; large technology and data operations team.
